page,product,source_name,source_url,source_basis,verification_date,status,notes
/products/best-coffee-machines.html,Jura J10,JURA UK,https://uk.jura.com/en/homeproducts/automatic-coffee-machines/j10-piano-black-inta-15664,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-dehumidifiers.html,MeacoDry Arete Two 20L,Meaco UK,https://www.meaco.com/products/meacodry-arete-two-20l-dual-dehumidifier-hepa-air-purifier,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-dehumidifiers.html,Pro Breeze 20L Dehumidifier,Pro Breeze UK,https://probreeze.com/products/20l-dehumidifier-with-max-extraction-and-laundry-mode,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-dehumidifiers.html,De’Longhi Tasciugo AriaDry Multi DEX212SF,De’Longhi UK,https://www.delonghi.com/en-gb/p/tasciugo-ariadry-multi-tasciugo-ariadry-multi-dehumidifier-dex212sf/DEX212SF.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-desk-lamps.html,BenQ e-Reading Desk Lamp,BenQ UK,https://www.benq.eu/en-uk/lighting/e-reading-desk-lamp/e-reading.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-desk-lamps.html,IKEA Forså Work Lamp,IKEA UK,https://www.ikea.com/gb/en/p/forsa-work-lamp-black-80106012/,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-desk-lamps.html,Dyson Solarcycle Morph,Dyson UK,https://www.dyson.co.uk/lighting/desk-lamps/solarcycle-morph/white-silver,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-electric-toothbrushes.html,Philips Sonicare 7100,Philips UK,https://www.philips.co.uk/c-p/HX7420_02/7100-rechargeable-sonic-electric-toothbrush,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-electric-toothbrushes.html,Ordo Sonic Lite,Ordo,https://www.ordolife.com/products/ordo-sonic-lite-electric-toothbrush-stone,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-electric-toothbrushes.html,Oral-B iO Series 10,Oral-B UK,https://www.oralb.co.uk/en-gb/products/electric-toothbrushes/oral-b-io10-lunar-gold-special-edition-electric-toothbrush,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-fans.html,Shark FlexBreeze Portable Fan FA220UK,SharkNinja UK,https://www.sharkninja.co.uk/shark-flexbreeze-portable-fan-fa220uk/FA220UK.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-fans.html,MeacoFan 1056 Air Circulator,Meaco UK,https://www.meaco.com/products/meacofan-1056-air-circulator-with-storage-bag,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-fans.html,Duux Whisper Flex 2,Duux UK,https://duux.co.uk/product/whisper-flex-2-fan-black/,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-garden-tools.html,Wolf-Garten Multi-Change System,WOLF-Garten UK,https://www.wolfgarten-tools.co.uk/collections/multi-change-system,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-garden-tools.html,Fiskars X-series PowerGear P961 Bypass Pruner,Fiskars,https://cuix-prod.fiskars.com/en-gb/gardening/products/pruners/x-series-bypass-pruner-l-p961-1057175,first-party model reference,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-garden-tools.html,STIHL FSA 50 Cordless Grass Trimmer,STIHL UK,https://www.stihl.co.uk/en/p/brushcutters-grass-trimmers-clearing-saws-fsa-50-cordless-grass-trimmer-ak-system-215226,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-heaters.html,Dimplex EvoRad 2kW Oil Free Radiator,Dimplex UK,https://www.dimplex.co.uk/evo2bta-evorad-oil-free-radiator,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-heaters.html,Dreo Heater 316,Dreo UK,https://uk.dreo.com/products/heater-316,first-party,2026-08-18,verified,Current direct manufacturer product page. Affiliate button uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-heaters.html,Dyson Hot+Cool Jet Focus AM09,Dyson UK,https://www.dyson.co.uk/fans-and-heaters/hot-cool/white-nickel,first-party,2026-08-18,verified,Current direct Dyson product page showed a buy-direct path at verification. Affiliate button uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-meditation-blankets.html,Yogamatters Organic Cotton Yoga Blanket,Yogamatters,https://www.yogamatters.com/products/yogamatters-organic-cotton-blanket,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-meditation-blankets.html,Silentnight Wellbeing Weighted Blanket,Silentnight,https://www.silentnight.co.uk/silentnight-wellbeing-weighted-blanket-7kg.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-meditation-blankets.html,Simba Orbit Weighted Blanket,Simba,https://simbasleep.com/products/weighted-blanket,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-meditation-cushions.html,Yogamatters Hemp Buckwheat Zafu Meditation Cushion,Yogamatters,https://www.yogamatters.com/products/yogamatters-hemp-buckwheat-zafu-meditation-cushion,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-meditation-cushions.html,Yogamatters Organic Cotton Chambray Meditation Cushion,Yogamatters,https://www.yogamatters.com/collections/meditation-cushions/productsubcategory-meditation-cushion,first-party category,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-meditation-cushions.html,Leewadee Kapok Zafu Cushion,Leewadee UK,https://www.leewadee.com/uk/product/meditation-cushion-set.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-outdoor-lights.html,Philips Hue Appear Outdoor Wall Light,Philips Hue UK,https://www.philips-hue.com/en-gb/p/hue-white-and-colour-ambiance-appear-outdoor-wall-light/1746330P7,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-outdoor-lights.html,Govee Outdoor UpDown Wall Light,Govee UK,https://uk.govee.com/collections/outdoor-lights,first-party category,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-outdoor-lights.html,Philips Hue Lily Outdoor Spotlight,Philips Hue UK,https://www.philips-hue.com/en-gb/p/hue-white-and-colour-ambiance-lily-outdoor-spot-light/1741530P7,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-patio-heaters.html,Veito Blade S2500 Black Indoor & Outdoor Heater,Veito UK,https://veito.co.uk/product/veito-blade-s2500-black/,first-party,2026-08-18,verified,Replaced unverified/secondary-source La Hacienda pick with current first-party product. Affiliate button uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-patio-heaters.html,Outsunny 2kW Wall Mounted Infrared Patio Heater,Aosom UK / Outsunny,https://www.aosom.co.uk/item/outsunny-wall-mount-electric-infrared-patio-heater-2-kw-black~842-123V01.html,brand owner retailer product page,2026-08-18,verified,Exact current product page; stock can change. Affiliate button uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-patio-heaters.html,Herschel Colorado 2500W Infrared Patio Heater with Remote and Stand,Herschel Infrared UK,https://www.herschel-infrared.co.uk/outdoors/colorado-freestanding-infrared-patio-heater/,first-party,2026-08-18,verified,Current direct manufacturer product page. Affiliate button uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-power-banks.html,CUKTECH 20 Power Bank 25000mAh 210W,CUKTECH,https://cuktech.com/products/p23-cuktech-p-series-25000mah-210w-power-bank,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-power-banks.html,"Anker Nano Power Bank (5K, MagGo, Slim)",Anker UK,https://www.anker.com/uk/products/a1665,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-power-banks.html,Ugreen Nexode 200W Power Bank,UGREEN UK,https://uk.ugreen.com/products/ugreen-nexode-power-bank-25000mah-200w,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-shower-heads.html,hansgrohe Pulsify Select S 105 3jet Hand Shower,hansgrohe UK,https://www.hansgrohe.co.uk/articledetail-pulsify-select-s-hand-shower-105-3jet-activation-ecosmart-24101000,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-shower-heads.html,Mira Beat Single Spray Showerhead 90mm,Mira Showers,https://www.mirashowers.co.uk/p/parts-and-accessories/shop-showerheads/mira-beat-single-spray-showerhead-21703009,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-shower-heads.html,Methven Aurajet Aio Handset,Methven UK,https://uk.methven.com/aio-aurajet-shower-handset-chrome,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-singing-bowls.html,Himalayan Bazaar Hand Hammered Singing Bowl Set,Himalayan Bazaar,https://www.himalayanbazaar.com/collections/singing-bowl,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-singing-bowls.html,Ohm Store Tibetan Singing Bowl Set,The Ohm Store,https://www.theohmstore.co/collections/singing-bowls,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-singing-bowls.html,Peter Hess Therapy Singing Bowl,Hess Sound,https://www.hess-sound.de/en/collections/therapy-singing-bowls,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-wireless-earbuds.html,Technics EAH-AZ100,Technics UK,https://www.technics.com/uk/products/headphones/eah-az100.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-wireless-earbuds.html,Nothing Ear (3a),Nothing,https://support.nothing.tech/hc/en-us/categories/47340233372561-Nothing-Ear-3a,first-party support,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-wireless-earbuds.html,Bose QuietComfort Ultra Earbuds 2nd Gen,Bose UK,https://www.bose.co.uk/p/earbuds/bose-quietcomfort-ultra-earbuds-2nd-gen/QCUE2-HEADPHONEIN.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-yoga-mats.html,lululemon The Mat 5mm Made With FSC™ Certified Rubber,lululemon UK,https://www.lululemon.co.uk/en-gb/p/the-mat-5mm-made-with-fsc%E2%84%A2-certified-rubber/prod10990033.html,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-yoga-mats.html,Jade Level One Yoga Mat,JadeYoga UK,https://jadeyoga.co.uk/jade-yoga-mats/jade-level-one-4mm-beginner/,first-party / official distributor,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
/products/best-yoga-mats.html,Manduka PROlite Yoga Mat 4.7mm,Manduka UK,https://mandukauk.co.uk/products/prolite-yoga-mat,first-party,2026-08-18,verified,Direct manufacturer stock can change. Affiliate button intentionally uses an Amazon UK search rather than a hard-coded ASIN.
