asset,asset_type,active_in_refreshed_site,source,licence_or_permission_basis,required_attribution,action,verification_date
Product_picture/Bathroom/Bathroom_scales/Etekcity_digital_body_weight_scale.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Home Comforts/De-humidifiers/electriQ 12L Low Energy Laundry Quiet Dehumidifier.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Home Comforts/Heaters/daewoo-convector-heater-2000w.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Home Comforts/Heaters/delonghi-dragon-4-oil-filled-radiator.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Home Comforts/Heaters/dimplex-panel-heater-modern.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Home Comforts/desk_fans/honeywell-turboforce-desk-fan.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Home Comforts/desk_fans/meacofan-1056-air-circulator.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Home Comforts/desk_fans/probreeze-mini-desk-fan.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Kitchen/Air_fryers/cosori-air-fryer.jpg.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Kitchen/Air_fryers/ninja-dual-zone-air-fryer.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Kitchen/Air_fryers/tower-air-fryer.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Kitchen/Blenders/ninja-jug-blender-kitchen.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Kitchen/Blenders/premium-jug-blender-kitchenaid.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Kitchen/Blenders/tefal-jug-blender-budget.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Kitchen/Coffee_Machines/dolce-gusto-piccolo-xs-delonghi.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Kitchen/Coffee_Machines/nespresso-pixie-krups-coffee-machine.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Kitchen/Coffee_Machines/nespresso-vertuo-pop-coffee-machine.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Outdoor Living/Garden_tools/Fiskars_Garden_Fork.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Outdoor Living/Garden_tools/Kent_&_Stowe_Garden_Life_Hand_Trowel.png,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Outdoor Living/Garden_tools/Spear_&_Jackson_Razorsharp_Bypass_Secateurs.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Outdoor Living/Patio_heaters/Electric_patio_heaters.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Outdoor Living/Patio_heaters/Inferred_patio_heaters.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Outdoor Living/Patio_heaters/Pyramid_patio_heaters.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Outdoor Living/outdoor_lights/Solar_lights.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Outdoor Living/outdoor_lights/String_lights.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Outdoor Living/outdoor_lights/outdoor wall lights.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Bathroom/Bathroom_scales/Etekcity_digital_body_weight_scale.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Bathroom/Bathroom_scales/Smart-Scale-P2.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Bathroom/Bathroom_scales/Withings_body-smart-black-kg.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Bathroom/Shower_heads/Cobbe Hard Water Filter Shower Head and Hose.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Bathroom/Shower_heads/Methven Aurajet AIO Shower Handset.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Bathroom/Shower_heads/Pulsify Select S Hand shower.png,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Bathroom/Toothbrushes/Oral B Pro 1 Electric Toothbrush.png,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Bathroom/Toothbrushes/Oral-B Vitality Pro Electric Toothbrush.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Bathroom/Toothbrushes/Oral-B iO 3 Black Electric Toothbrush.avif,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Home Comforts/De-humidifiers/DeLonghi Tasciugo AriaDry Multi Dehumidifier.avif,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Home Comforts/De-humidifiers/Meaco MeacoDry Arete Two 20L Dehumidifier & Air Purifier.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Home Comforts/De-humidifiers/electriQ 12L Low Energy Laundry Quiet Dehumidifier.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Home Comforts/Heaters/daewoo-convector-heater-2000w.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Home Comforts/Heaters/delonghi-dragon-4-oil-filled-radiator.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Home Comforts/Heaters/dimplex-panel-heater-modern.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Home Comforts/desk_fans/honeywell-turboforce-desk-fan.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Home Comforts/desk_fans/meacofan-1056-air-circulator.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Home Comforts/desk_fans/probreeze-mini-desk-fan.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Kitchen/Air_fryers/cosori-air-fryer.jpg.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Kitchen/Air_fryers/ninja-dual-zone-air-fryer.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Kitchen/Air_fryers/tower-air-fryer.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Kitchen/Blenders/ninja-jug-blender-kitchen.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Kitchen/Blenders/premium-jug-blender-kitchenaid.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Kitchen/Blenders/tefal-jug-blender-budget.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Kitchen/Coffee_Machines/dolce-gusto-piccolo-xs-delonghi.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Kitchen/Coffee_Machines/nespresso-pixie-krups-coffee-machine.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Kitchen/Coffee_Machines/nespresso-vertuo-pop-coffee-machine.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Outdoor Living/Garden_tools/Fiskars_Garden_Fork.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Outdoor Living/Garden_tools/Kent_&_Stowe_Garden_Life_Hand_Trowel.png,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Outdoor Living/Garden_tools/Spear_&_Jackson_Razorsharp_Bypass_Secateurs.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Outdoor Living/Patio_heaters/Electric_patio_heaters.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Outdoor Living/Patio_heaters/Inferred_patio_heaters.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Outdoor Living/Patio_heaters/Pyramid_patio_heaters.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Outdoor Living/outdoor_lights/Solar_lights.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Outdoor Living/outdoor_lights/String_lights.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Outdoor Living/outdoor_lights/outdoor wall lights.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Meditation_blankets/Organic_Cotton_Yoga_Blanket.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Meditation_blankets/fleece-throw-blanket.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Meditation_blankets/oversized-premium-throw-blanket.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Meditation_cushions/Florensi_Meditation_Cushion.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Meditation_cushions/hihealer-buckwheat-meditation-cushion.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Meditation_cushions/leewadee-kapok-meditation-cushion.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Singing_bowls/beginner-sound-healing-bowl.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Singing_bowls/deep-tone-singing-bowl-large.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Singing_bowls/medium-sound-healing-bowl.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Yoga_mats/core-balance-tpe-yoga-mat.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Yoga_mats/non-slip-yoga-mat-simple.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Stillness & Clarity/Yoga_mats/premium-yoga-mat-patterned.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Bluetooth_speakers/anker-soundcore-portable-speaker.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Bluetooth_speakers/budget-mini-portable-speaker.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Bluetooth_speakers/powerful-portable-speaker-30w.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Desk_lamps/bienser-led-desk-lamp-clamp.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Desk_lamps/skyleo-led-desk-lamp-clamp.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Desk_lamps/woputne-desk-lamp-clamp.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Power_banks/anker-zolo-power-bank-20000mah-30w.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Power_banks/belkin-10k-power-bank-simple.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Power_banks/iniu-slim-power-bank-portable.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Wireless_Earbuds/echo-buds-latest-gen-smart-earbuds.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Wireless_Earbuds/soundcore-p20i-earbuds-best-overall.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Product_picture/Technology/Wireless_Earbuds/tozo-t10-earbuds-best-value.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Meditation_blankets/Organic_Cotton_Yoga_Blanket.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Meditation_blankets/fleece-throw-blanket.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Meditation_blankets/oversized-premium-throw-blanket.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Meditation_cushions/Florensi_Meditation_Cushion.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Meditation_cushions/hihealer-buckwheat-meditation-cushion.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Meditation_cushions/leewadee-kapok-meditation-cushion.webp,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Singing_bowls/beginner-sound-healing-bowl.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Singing_bowls/deep-tone-singing-bowl-large.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Singing_bowls/medium-sound-healing-bowl.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Yoga_mats/core-balance-tpe-yoga-mat.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Yoga_mats/non-slip-yoga-mat-simple.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Stillness & Clarity/Yoga_mats/premium-yoga-mat-patterned.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Bluetooth_speakers/anker-soundcore-portable-speaker.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Bluetooth_speakers/budget-mini-portable-speaker.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Bluetooth_speakers/powerful-portable-speaker-30w.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Desk_lamps/bienser-led-desk-lamp-clamp.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Desk_lamps/skyleo-led-desk-lamp-clamp.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Desk_lamps/woputne-desk-lamp-clamp.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Power_banks/anker-zolo-power-bank-20000mah-30w.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Power_banks/belkin-10k-power-bank-simple.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Power_banks/iniu-slim-power-bank-portable.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Wireless_Earbuds/echo-buds-latest-gen-smart-earbuds.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Wireless_Earbuds/soundcore-p20i-earbuds-best-overall.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
Product_picture/Technology/Wireless_Earbuds/tozo-t10-earbuds-best-value.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Air_Fryers.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Bathroom.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Blankets.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
images/Blenders.jpg,legacy local image,No,Supplied project file,Not documented in supplied project,Unknown / not relied upon,Removed from active deployment; retained only in the user-supplied original ZIP,2026-08-18
